setpoint,error_value,prefetch_count,new_prefetch_count
4500,2136.1618024503746,2364,1,7
4500,6636.712656178804,-2137,7,1
4500,2298.8964373524564,2201,1,7
4500,6735.138498543622,-2235,7,1
4500,2291.186725845948,2209,1,7
4500,6475.870664610236,-1976,7,1
4500,2321.9639606824303,2178,1,7
4500,5810.046668911755,-1310,7,2
4500,4092.428968231943,408,2,5
4500,5853.170554852793,-1353,5,1
4500,2308.8157789196553,2191,1,7
4500,6193.207566358172,-1693,7,1
4500,2318.209467050862,2182,1,7
4500,6164.450323481337,-1664,7,1
4500,2316.857411359211,2183,1,7
4500,6062.957182462304,-1563,7,1
4500,2301.1726227488816,2199,1,7
4500,6159.465699643957,-1659,7,1
4500,2315.387606402239,2185,1,7
4500,6023.14467393803,-1523,7,1
4500,2305.617984437161,2194,1,7
4500,6224.955327235377,-1725,7,1
4500,2263.555638820288,2236,1,8
4500,6056.095388032561,-1556,8,2
4500,4241.22546913243,259,2,4
4500,5836.0151774628575,-1336,4,1
4500,2336.797548601815,2163,1,7
4500,6046.905713168707,-1547,7,1
4500,2346.2527874624107,2154,1,7
4500,6290.1154180265485,-1790,7,1
4500,2313.624539604898,2186,1,8
4500,6068.565420076003,-1569,8,2
4500,4132.29408931384,368,2,5
4500,6040.8876076407205,-1541,5,1
4500,2279.718036108054,2220,1,8
4500,6430.285895483437,-1930,8,2
4500,4178.230865950084,322,2,4
4500,5828.793051537214,-1329,4,1
4500,2311.464895173592,2189,1,7
4500,5976.260816580664,-1476,7,2
4500,4108.570613212968,391,2,5
4500,5665.877035544013,-1166,5,1
4500,2329.907565922983,2170,1,8
4500,5928.080928482076,-1428,8,3
