setpoint,current_arrival_rate,error_value,prefetch_count,new_prefetch_count
4500,2778.298277765388,1722,1,4
4500,6547.743488046106,-2048,4,5
4500,5949.796730136405,-1450,5,5
4500,5931.375676617232,-1431,5,5
4500,6811.287495681353,-2311,5,6
4500,6670.483301144919,-2170,6,7
4500,6680.486302332353,-2180,7,8
4500,7249.628059419109,-2750,8,9
4500,6746.323437834825,-2246,9,9
4500,6812.048840251334,-2312,9,9
4500,6369.893925195765,-1870,9,9
4500,7246.5998272275965,-2747,9,9
4500,6945.986420371855,-2446,9,9
4500,6449.121582889384,-1949,9,9
4500,6773.586272935076,-2274,9,9
4500,7144.2308453149035,-2644,9,9
4500,6540.24466579104,-2040,9,9
4500,6764.45419728775,-2264,9,9
4500,6878.537276632376,-2379,9,9
4500,6846.204022980559,-2346,9,9
4500,7065.5736576976,-2566,9,9
4500,7208.989859332998,-2709,9,9
4500,6638.551507619215,-2139,9,9
4500,6696.029915496519,-2196,9,9
4500,6808.6501644229775,-2309,9,9
4500,7100.668680770255,-2601,9,9
4500,6244.78153798793,-1745,9,9
4500,5818.262129937137,-1318,9,9
4500,5891.71642066788,-1392,9,9
4500,4862.490609604373,-362,9,8
4500,5063.128537080433,-563,8,6
4500,5014.181709246599,-514,6,4
4500,5365.56750702508,-866,4,3
4500,4884.057381129229,-384,3,1
4500,2492.8172687139977,2007,1,4
4500,5511.96345219102,-1012,4,3
4500,5821.467383269428,-1321,3,3
4500,6091.123176666249,-1591,3,4
4500,6443.159282336344,-1943,4,5
4500,6648.070345078891,-2148,5,6
4500,6822.888125065967,-2323,6,7
4500,6881.82615795475,-2382,7,8
4500,7018.518675420851,-2519,8,9
4500,6639.637787588822,-2140,9,9
