setpoint,error_value,prefetch_count,new_prefetch_count
5000,1138.8,3861,1,3
5000,2928.0,2072,3,5
5000,3230.6,1769,5,7
5000,3241.8,1758,8,10
5000,3084.0,1916,10,12
5000,3276.0,1724,12,14
5000,2953.2,2047,15,17
5000,3546.0,1454,17,19
5000,2870.0,2130,19,21
5000,2435.0,2565,21,23
5250,2481.0,2769,23,25
5250,2968.2,2282,25,27
5250,2980.0,2270,27,29
5250,2966.0,2284,29,31
5250,3083.8,2166,31,33
5250,3026.0,2224,33,35
5250,3388.2,1862,35,37
5250,3098.2,2152,37,39
5250,3208.2,2042,39,41
5250,3083.2,2167,42,44
5500,3319.0,2181,44,46
5500,3281.0,2219,46,48
5500,3422.8,2077,49,51
5500,3295.6,2204,51,53
5500,3207.2,2293,53,55
5500,3117.0,2383,56,58
5500,3259.6,2240,58,60
5500,3338.0,2162,60,62
5500,3387.0,2113,62,64
5500,3380.8,2119,64,66
5750,3505.0,2245,66,68
5750,3466.4,2284,68,70
5750,3343.0,2407,70,72
5750,3517.0,2233,72,74
5750,1917.0,3833,74,76
5750,2362.4,3388,76,78
5750,2574.2,3176,79,81
5750,3231.4,2519,81,83
5750,2770.4,2980,83,85
5750,2755.0,2995,86,88
6000,2944.0,3056,88,90
6000,2920.0,3080,90,92
6000,2891.8,3108,92,94
6000,2946.2,3054,94,96
6000,2657.4,3343,96,98
6000,2881.4,3119,98,100
6000,2792.2,3208,100,102
6000,2678.6,3321,103,105
6000,2855.8,3144,105,107
6000,2695.2,3305,107,109
6250,2920.8,3329,109,111
6250,2891.6,3358,111,113
6250,2872.8,3377,113,115
6250,2932.0,3318,115,117
6250,2936.4,3314,117,119
6250,2868.2,3382,119,121
6250,3006.6,3243,121,123
6250,2883.2,3367,123,125
6250,2789.2,3461,125,127
6250,2979.6,3270,127,129
6500,3018.2,3482,129,131
6500,2915.8,3584,131,133
6500,2962.8,3537,133,135
6500,2979.8,3520,135,137
6500,2849.0,3651,137,139
6500,2945.8,3554,139,141
6500,2844.0,3656,141,143
6500,2549.4,3951,143,145
6500,2905.8,3594,145,147
5000,768.8,4231,1,3
5000,2071.8,2928,3,5
5000,2404.2,2596,6,8
5000,2499.6,2500,8,10
5000,2520.6,2479,10,12
5000,2496.2,2504,12,14
5000,1094.4,3906,1,3
5000,2579.6,2420,3,5
5000,2943.6,2056,5,7
5000,3198.2,1802,7,9
5000,3168.4,1832,9,11
5000,3170.0,1830,11,13
5000,2929.4,2071,13,15
5000,3379.8,1620,15,17
5000,3255.6,1744,17,19
5000,3321.4,1679,19,21
5250,3345.6,1904,21,23
5250,2578.0,2672,23,25
5250,3395.8,1854,26,28
5250,3369.4,1881,28,30
5250,3365.4,1885,30,32
5250,3319.2,1931,32,34
5250,3433.2,1817,35,37
5250,3363.4,1887,37,39
5250,3330.6,1919,39,41
5250,3382.4,1868,41,43
5500,3334.4,2166,43,45
5500,3426.8,2073,45,47
5500,3405.2,2095,47,49
2500,2006.9122458205502,493,1,4
2500,4469.96517749497,-1970,3,1
2500,2034.2832093723257,466,1,3
2500,4545.9158947292735,-2046,3,1
2500,2063.3874060827266,437,1,3
2500,4248.867498429109,-1749,3,1
2500,1857.9706750729824,642,1,3
2500,3535.606963445037,-1036,3,1
2500,1637.9635786174547,862,1,3
2500,3640.7140762289264,-1141,3,1
2500,1599.715633893438,900,1,3
2500,3764.526043284901,-1265,3,1
2500,1704.87626926032,795,1,3
2500,3938.278874307922,-1438,3,1
2500,1832.76049844049,667,1,3
2500,3537.3783605973326,-1037,3,1
2500,1676.9100938658773,823,1,4
2500,3887.1354971335886,-1387,4,1
2500,1776.6636041449226,723,1,3
2500,3801.111005711374,-1301,3,1
2500,1787.196238603282,713,1,3
2500,3501.916674784626,-1002,3,1
2500,1742.9588956949037,757,1,3
2500,3818.5534598643944,-1319,3,1
2500,1731.7216682058963,768,1,3
2500,1716.0837206379401,784,1,4
2500,3515.529840774367,-1016,4,1
2500,1704.1381614141067,796,1,4
2500,3915.878256195877,-1416,4,1
2500,1741.1788284015063,759,1,4
2500,4047.628610696492,-1548,4,1
2500,1719.7372673506964,780,1,4
2500,3830.670493632317,-1331,4,1
2500,1756.538940196638,743,1,4
2500,3914.229779741329,-1414,4,2
