prefetch_count,arrival_rate,sample_number,setpoint
1,2564.5632821202557,1,4500
1,2792.4478035192974,1,4500
1,2841.5873309891012,1,4500
1,2932.796993296845,2,4500
1,2679.507303688582,3,4500
1,2595.74584852177,4,4500
1,2935.8598220935373,5,4500
1,2874.856407340167,6,4500
1,2797.44257454737,7,4500
1,2960.8596917418486,8,4500
1,2879.4616236913766,9,4500
2,4833.577066949932,10,4500
2,4618.2502535737785,11,4500
2,4936.885826605515,12,4500
2,4643.80245843015,13,4500
2,4513.346015020668,14,4500
2,4558.4675284852165,15,4500
2,4460.98383356231,16,4500
2,4618.079106262716,17,4500
2,5094.192469789192,18,4500
2,4513.293613024955,19,4500
3,6039.583440587624,20,4500
3,6050.009847828033,21,4500
3,6420.173212949937,22,4500
3,6111.279164292324,23,4500
3,6296.4469385897,24,4500
3,6278.0205200935325,25,4500
3,6241.27187613524,26,4500
3,6365.668112430818,27,4500
3,6371.384809434869,28,4500
3,6345.313314234518,29,4500
4,6702.109079073286,30,4500
4,6820.940140720408,31,4500
4,6936.207391640202,32,4500
4,6774.250602583709,33,4500
4,6628.1829329548655,34,4500
4,6491.497833228835,35,4500
4,6576.5372812530395,36,4500
4,6867.229597169714,37,4500
4,6707.278891353281,38,4500
4,6453.780920104167,39,4500
5,6921.739765095371,40,4500
5,6646.689382548603,41,4500
5,7017.558004783173,42,4500
5,6944.792052316225,43,4500
5,6303.786924422683,44,4500
5,6696.353700481101,45,4500
5,6890.2574523763615,46,4500
5,6752.937692001181,47,4500
5,7076.172331708374,48,4500
5,7120.769101429547,49,4500
6,6974.898669643656,50,4500
6,6809.880841495054,51,4500
6,6970.786039494817,52,4500
6,6608.045330816989,53,4500
1,2369.748698715724,1,4500
1,2814.5558454097204,2,4500
1,2813.3451323433337,3,4500
1,2217.4877343856247,4,4500
1,2822.2944150343787,5,4500
1,2466.5054986396713,6,4500
1,2758.7577731492433,7,4500
1,2678.9294867955823,8,4500
1,2563.08643385915,9,4500
1,2436.157175100003,10,4500
1,2675.7561090420954,11,4500
1,2621.0705666485574,12,4500
1,2588.022747505191,13,4500
1,2865.720744036124,14,4500
1,2833.538455735846,15,4500
1,2490.89103249202,16,4500
1,2387.681783433659,17,4500
1,2651.60713093578,18,4500
1,2624.6715274442436,19,4500
1,2462.8025871874775,20,4500
1,2672.701485526642,21,4500
1,2867.574156784266,22,4500
1,2865.0767067156557,23,4500
1,2655.4220018409187,24,4500
1,2741.629013035103,25,4500
1,2186.5314477716965,1,4500
1,2252.71900681824,2,4500
1,2207.3958483604456,3,4500
1,2192.9566041474,4,4500
1,2198.37179714642,5,4500
1,2217.0745218772995,6,4500
1,2190.7198779036353,7,4500
1,2214.7973069509826,8,4500
1,2181.931071789977,9,4500
1,2205.520808927101,10,4500
1,2170.6546131111218,11,4500
1,2190.9751874634253,12,4500
1,2213.3475463042014,13,4500
1,2190.4694484561123,14,4500
1,2208.0974203878977,15,4500
1,2246.3291980934173,16,4500
1,2236.8307240698205,17,4500
1,2202.864076065349,18,4500
1,2255.7305689772475,19,4500
1,2210.4990513567227,20,4500
1,2242.2535517484293,21,4500
1,2162.763440912256,22,4500
1,2197.481453217639,23,4500
1,2206.1150544211177,24,4500
1,2164.062025889133,25,4500
1,2217.5697049274227,26,4500
1,2222.692421984283,27,4500
1,2187.0681923008606,28,4500
1,2222.197774784409,29,4500
1,2298.289641872913,30,4500
1,2222.0773252226068,31,4500
1,2211.783441829664,32,4500
1,2261.9804234768458,33,4500
1,2199.6214927345604,34,4500
1,2231.986802751372,35,4500
1,2210.1792382569342,36,4500
1,2219.3054985136905,37,4500
1,2195.0835668506625,38,4500
1,2184.936967522366,39,4500
1,2229.794843242173,40,4500
1,2137.3000729216815,41,4500
1,2219.407240369502,42,4500
1,2206.6592130172107,43,4500
1,2138.64488060198,44,4500
