prefetch_count,average_latency,arrival_rate,sample_number
1,4.216607937728075,669.7,1
1,4.442693341546869,1540.3,1
1,10.977709733756287,1539.9,2
1,17.541760018824316,1572.0,3
1,24.318708756204714,1447.5,4
1,30.789995766834302,1403.6,5
1,37.56368315342687,1397.8,6
1,44.27910392358715,1414.7,7
1,51.07008487135572,1340.4,8
1,57.92041037293483,1461.2,9
1,64.603074039525,1400.6,10
1,71.45351001360726,1401.9,11
4,77.10040801450283,2741.9,12
4,81.4134692770816,2817.0,13
4,85.94433633056431,2787.1,14
4,90.19514277952312,2814.0,15
4,94.16646468029111,2977.0,16
4,97.88973358412822,2958.5,17
4,101.60825051373111,2735.7,18
4,105.57966051367889,2885.7,19
4,109.5935750089702,2864.3,20
4,113.23416295328455,3020.7,21
7,116.77018920462757,3056.4,22
7,120.43975276708642,3030.5,23
7,123.90080701504195,3009.1,24
7,127.88869804869758,2866.7,25
7,131.67285909088463,3060.9,26
7,134.88769346184498,2966.9,27
7,138.14824178676423,2927.2,28
7,141.19783583518483,3069.5,29
7,144.32272308204764,2928.6,30
7,147.4069472259498,2948.7,31
10,150.56645205981113,3036.2,32
10,153.40341252997922,2936.4,33
10,156.32637472396658,3039.5,34
10,159.35481803099032,2876.7,35
10,162.61090542453368,2996.5,36
10,165.63206267294046,2998.0,37
10,168.77844290256158,2926.9,38
10,171.7086153166352,3011.0,39
10,174.6681586851297,3012.2,40
10,177.5692918306528,2829.1,41
13,180.6770578737066,2928.9,42
13,183.57224601294828,3059.4,43
13,186.29831813405244,2994.5,44
13,189.15412911581257,3030.5,45
13,192.02579385400264,2989.6,46
13,194.9310102908937,2975.9,47
13,198.0919963428549,2979.7,48
13,200.87263351895695,3048.3,49
13,203.64262344612916,2966.0,50
13,206.50273628919706,3044.8,51
16,209.22536245146335,3020.0,52
16,212.13040822092282,3120.6,53
16,214.9648372029169,2994.2,54
16,217.88479755525847,2988.4,55
16,220.8582087910137,3054.6,56
16,223.7678251634274,3109.6,57
16,226.42807593321882,3070.6,58
16,229.34468523031657,2995.2,59
16,232.26332201219213,2990.2,60
16,235.17217418686803,3012.0,61
19,237.98618649548544,3093.5,62
19,240.72003371313136,3063.7,63
19,243.46610972887441,3074.9,64
19,246.30888328288418,3063.5,65
19,249.22056970050735,3052.9,66
19,252.01172330880033,3020.8,67
19,255.03010895559802,3030.1,68
19,257.79326766284066,3041.2,69
7,166.04993935911563,907.7,1
9,170.51570471750205,2241.0,2
10,171.87818156394366,2307.7,3
6,247.4776773277206,888.2,1
10,251.94733122570003,2169.1,2
11,254.5702635811694,2260.5,3
6,374.04928868098017,749.8,1
10,379.8770489197028,1606.1,2
11,345.800816988989,1625.0,3
11,25.007922437846098,1731.3,4
11,27.88679740238887,1751.4,5
11,30.646919931046316,1697.9,6
11,33.56155561603436,1707.3,7
11,36.50992625441488,1654.0,8
11,39.4635854477742,1670.8,9
11,42.38276565427637,1635.8,10
11,45.40611622717505,1706.9,11
11,48.3410804703796,1714.9,12
11,50.92283487451571,1738.9,13
11,53.70623602021753,1713.6,14
11,56.586855377174594,1707.9,15
11,59.60131366673536,1652.8,16
11,62.6534546088929,1724.2,17
11,65.58086579781944,1645.3,18
11,68.56626483043078,1664.7,19
11,71.49689770398231,1664.0,20
11,74.46965754015534,1723.4,21
11,77.28885828639764,1700.6,22
11,80.2599134145442,1658.4,23
11,83.15540832505245,1635.5,24
11,86.08112854685854,1686.4,25
11,89.01127298733807,1725.0,26
11,91.74478769555193,1688.0,27
11,94.81408880414914,1643.6,28
11,97.89859522540505,1723.7,29
11,100.71211783911879,1664.7,30
7,149.40781798683264,673.9,1
9,154.38542127613582,1652.1,2
10,157.6874491992362,1482.8,3
6,169.01287332560833,769.0,1
10,173.5717519864037,1726.9,2
2,539.853531672514,769.1,1
7,545.7181824611641,1406.8,2
5,746.5850788698173,939.3,1
6,1091.9139323952618,969.2,1
5,777.3288582169769,958.2,1
